Weak_foot,Ball_Control,Dribbling,Marking,Attacking_Position,Interceptions,Short_Pass,Long_Pass,Acceleration,Speed,Strength,Agility,Jumping,Heading,Shot_Power,Curve,Rating,edad,Club_Pos_Num
3,75,68,84,38,90,75,83,65,75,85,61,85,84,74,56,87,30,17
4,83,76,76,80,89,84,82,77,74,79,75,82,81,84,76,87,30,9
3,87,84,52,80,69,87,92,67,65,63,71,51,58,84,88,87,29,0
2,90,85,23,81,41,91,78,72,65,56,92,66,54,71,83,87,31,8
2,24,18,17,12,22,36,34,54,57,71,42,78,10,22,12,87,33,4
3,78,59,86,58,88,81,80,56,73,83,58,74,83,62,58,87,30,17
2,89,91,29,85,39,84,71,87,86,65,89,61,51,86,86,87,33,21
3,91,91,14,85,24,83,67,91,86,65,91,75,68,82,88,86,24,0
4,87,88,76,71,83,90,87,72,64,56,87,64,55,66,73,86,25,18
4,83,79,81,77,85,83,80,86,86,69,82,82,75,83,78,86,25,6
5,89,87,49,83,68,85,73,86,84,63,88,72,53,87,83,86,28,23
4,22,16,8,7,22,37,33,46,52,68,52,73,13,23,9,86,25,4
4,82,75,31,93,58,81,68,76,79,67,77,81,82,77,81,86,28,0
3,80,74,81,77,86,88,79,53,33,77,58,66,68,61,66,86,29,2
3,91,90,49,83,74,90,86,77,68,59,90,75,58,75,83,86,26,19
3,84,80,81,77,83,79,70,93,93,66,90,81,63,64,77,86,28,7
4,88,88,24,83,30,85,78,89,77,61,91,59,47,79,84,86,25,13
2,87,87,37,82,38,83,82,86,86,64,90,72,53,87,83,86,29,23
4,83,79,28,88,40,67,52,76,78,91,58,64,82,84,62,86,29,26
3,80,80,24,89,48,75,50,76,79,74,82,88,88,85,75,86,30,26
3,85,80,78,88,86,84,81,81,78,78,81,76,59,84,73,86,29,10
4,87,83,80,75,83,81,76,77,80,77,77,77,70,83,80,86,29,6
4,85,84,72,82,82,87,85,79,79,71,81,67,68,82,78,86,31,27
3,67,62,89,43,88,65,65,68,76,81,62,82,84,70,32,86,33,17
4,86,82,13,87,22,86,47,79,82,78,77,70,78,83,79,86,30,26
3,86,80,60,78,50,91,90,65,62,64,65,68,74,77,77,86,30,27
4,90,90,13,81,36,86,75,85,79,60,88,50,41,76,83,86,34,27
5,87,86,58,82,64,86,84,75,65,59,85,70,58,78,86,86,33,27
3,65,60,90,28,92,65,65,69,79,87,59,85,76,54,50,86,36,27
3,82,77,41,86,35,75,67,69,77,84,74,70,83,86,71,85,24,22
4,84,85,23,87,40,80,68,84,87,79,87,78,76,81,74,85,26,26
3,19,16,12,16,20,30,37,54,53,75,60,74,11,21,11,85,31,4
4,79,76,27,85,27,71,68,81,89,93,62,71,83,88,64,85,24,26
5,86,84,38,81,45,87,83,78,74,52,77,57,52,78,85,85,25,0
4,88,87,57,77,79,90,83,77,74,74,85,62,49,77,81,85,27,27
3,70,61,86,56,86,77,81,63,69,81,60,83,83,86,63,85,28,1
4,86,87,43,78,55,82,77,92,86,61,87,46,29,71,80,85,29,27
4,89,86,60,76,68,89,85,75,75,65,79,61,60,79,86,85,27,19
3,88,83,25,84,39,86,77,75,63,43,89,72,63,75,84,85,29,27
3,71,62,82,57,85,77,76,49,53,84,54,77,86,76,61,85,29,17
4,90,89,29,79,37,86,84,79,75,76,80,48,59,78,90,85,30,13
4,88,88,30,81,36,80,74,93,87,42,94,60,35,80,80,85,30,26
3,58,58,87,50,80,64,64,73,83,86,63,84,84,79,37,85,29,1
4,86,83,60,84,70,87,81,75,77,69,76,72,74,79,80,85,30,8
2,77,73,83,68,85,84,79,79,79,78,77,83,73,74,65,85,30,8
3,15,12,11,12,25,33,34,45,50,76,51,72,12,21,17,85,31,4
3,67,62,83,31,86,76,69,78,80,76,70,86,84,54,22,85,32,7
3,81,77,85,71,82,78,77,77,83,74,74,62,68,71,74,85,32,6
3,66,63,85,41,77,65,66,68,69,87,60,73,84,75,61,85,31,27
2,71,55,86,54,85,73,78,68,71,84,49,77,85,70,62,84,23,7
4,85,90,19,82,18,77,72,87,89,59,91,68,53,84,81,84,24,11
3,83,76,85,61,82,81,71,78,85,75,82,76,65,64,72,84,25,16
4,90,88,25,80,38,80,76,86,79,57,92,59,45,76,79,84,26,21
3,75,57,84,44,82,72,74,80,83,84,58,79,83,52,46,84,24,27
4,79,75,17,89,22,73,54,78,80,76,75,90,84,81,58,84,24,26
3,90,88,16,83,26,81,72,94,86,44,96,55,56,68,78,84,26,13
3,90,89,25,83,65,84,82,76,69,59,83,64,55,72,86,84,25,27
4,86,80,63,80,64,86,85,74,69,75,77,61,61,84,85,84,25,21
2,65,54,88,25,85,60,61,79,80,84,69,86,80,43,30,84,26,17
2,19,11,15,15,20,24,26,51,54,80,42,75,13,24,24,84,33,4
3,64,41,81,49,82,70,66,68,75,81,71,90,85,69,50,84,29,7
3,70,53,82,50,85,77,69,67,73,81,66,85,81,66,55,84,25,17
3,79,72,76,68,86,83,80,66,68,90,57,71,77,78,68,84,29,8
3,81,82,76,72,82,79,69,83,89,79,79,79,72,78,78,84,26,6
2,59,51,86,24,87,59,59,56,63,88,33,79,84,57,35,84,29,17
3,84,87,41,78,43,80,72,96,88,62,91,61,58,88,81,84,27,11
3,85,76,72,78,84,86,83,66,69,84,66,55,68,85,75,84,27,8
2,85,86,30,79,40,82,78,85,80,50,87,68,54,72,88,84,29,27
3,83,75,70,69,85,87,86,52,52,77,53,66,61,84,72,84,33,8
5,83,84,26,84,42,81,73,83,87,77,78,82,78,83,73,84,28,5
3,79,66,80,54,82,79,78,72,73,77,74,82,82,77,70,84,30,1
4,81,78,76,80,86,85,81,63,69,91,59,69,76,84,68,84,30,9
3,70,60,85,51,85,74,64,63,67,81,65,82,83,62,38,84,29,17
2,24,15,12,11,23,25,26,38,47,79,39,72,14,24,18,84,29,4
3,14,15,12,12,22,39,39,59,54,73,62,73,13,24,23,84,28,27
4,87,85,57,75,70,88,85,75,69,67,86,59,45,74,83,84,29,0
3,65,64,86,39,80,65,65,69,69,89,59,83,85,59,34,84,30,27
3,17,15,10,11,23,37,28,53,43,61,52,74,13,24,13,84,32,27
3,85,84,72,72,82,81,77,79,83,55,85,79,72,86,78,84,34,27
4,88,87,54,82,61,85,81,78,68,70,86,79,70,73,81,84,30,27
3,80,58,82,51,90,79,75,67,65,74,71,75,68,76,63,84,33,27
3,80,79,46,86,23,71,52,69,71,82,53,93,94,83,61,84,36,26
4,82,79,66,80,60,86,83,69,78,91,60,65,74,86,80,84,34,2
3,63,59,83,44,85,72,56,79,83,84,76,86,79,55,46,83,23,17
3,56,47,85,24,85,68,58,68,72,83,57,90,79,72,36,83,22,27
3,79,76,75,69,91,84,79,83,81,76,80,79,54,72,49,83,26,18
3,15,15,16,12,21,32,23,54,48,73,58,68,12,24,19,83,25,4
4,85,84,67,80,78,83,78,75,77,69,81,63,55,77,74,83,24,27
4,83,84,65,77,76,85,84,72,66,85,68,58,69,80,82,83,24,27
3,76,65,85,46,84,77,73,73,74,74,68,84,80,53,49,83,23,17
2,80,80,12,87,34,72,50,83,83,76,78,77,76,78,72,83,31,26
4,78,79,77,64,84,83,86,52,53,88,45,68,72,63,66,83,25,2
3,84,87,28,80,38,81,62,91,90,68,87,75,48,85,70,83,27,21
2,84,86,48,81,26,81,67,94,92,64,90,60,38,68,64,83,23,23
5,85,87,25,79,36,83,72,77,77,67,82,76,65,84,78,83,24,13
4,83,87,30,84,37,83,76,79,79,76,82,81,73,79,80,83,26,26
2,71,69,79,59,80,72,73,74,74,83,73,86,85,79,67,83,27,27
2,57,54,85,24,81,57,48,69,78,93,53,78,78,55,28,83,26,7
3,77,77,80,68,85,81,79,67,69,89,58,67,77,77,48,83,26,2
4,22,20,11,15,22,35,32,45,51,67,50,64,14,22,12,83,24,4
3,77,69,79,66,84,80,82,59,62,82,66,87,74,86,59,83,25,27
4,85,86,25,80,25,81,82,83,81,81,75,70,65,77,76,83,28,11
2,21,15,13,17,25,32,31,60,64,65,65,85,16,20,15,83,27,4
3,23,19,14,12,19,33,31,57,56,52,70,75,12,23,15,83,25,25
2,71,68,85,51,84,77,77,67,77,80,58,65,88,66,63,83,26,17
3,85,90,52,78,58,77,73,91,93,59,91,75,58,84,76,83,29,21
3,84,85,20,85,36,80,67,86,80,59,88,68,78,79,83,83,30,23
4,18,17,10,11,22,30,38,38,50,79,37,82,11,22,18,83,25,4
4,90,88,16,82,66,85,79,73,68,67,86,62,49,68,80,82,25,27
4,85,81,66,79,82,86,80,78,68,65,85,63,60,72,78,83,28,18
4,87,88,49,78,69,87,83,72,75,64,85,49,63,78,83,83,28,27
3,61,59,81,48,82,66,63,76,77,87,60,75,85,42,49,83,28,7
5,85,84,30,84,49,83,70,86,80,56,84,67,55,71,81,83,30,23
3,84,84,58,79,73,83,81,81,81,69,79,69,58,84,78,83,28,25
2,23,16,14,10,18,37,24,44,52,74,51,74,17,22,13,83,27,4
3,84,82,37,81,34,83,80,78,77,36,86,66,54,76,77,83,26,25
3,82,72,75,70,85,82,78,56,62,90,43,69,79,79,73,83,29,9
3,84,81,62,83,72,85,80,69,69,69,77,65,58,81,70,83,27,27
3,73,43,85,50,85,78,70,75,70,81,73,83,81,57,53,83,27,17
5,72,64,86,35,84,74,69,75,77,78,65,82,83,63,44,83,28,17
2,84,82,24,88,40,75,51,89,90,56,85,73,65,78,65,83,30,23
4,85,82,80,75,84,83,84,64,65,62,73,56,61,83,77,83,28,3
3,77,70,87,64,85,80,74,79,79,74,75,75,73,68,66,83,28,17
4,87,86,23,83,26,78,70,90,86,48,93,53,37,78,86,83,30,12
3,78,73,25,85,26,70,55,75,79,86,68,84,86,81,66,83,29,12
3,77,73,48,89,56,71,45,69,75,87,69,85,90,78,56,83,31,11
5,86,85,60,77,68,86,78,76,74,67,83,73,67,72,77,83,29,18
3,82,72,26,84,41,77,56,60,58,88,59,82,88,84,70,83,31,27
2,23,20,13,13,22,31,30,53,57,77,61,79,11,38,10,83,29,4
4,25,15,11,15,21,40,31,48,54,68,55,69,10,23,12,83,29,4
5,88,84,23,86,34,75,71,72,70,61,82,69,81,80,85,83,33,12
3,80,76,23,86,38,79,72,88,86,64,82,84,67,84,76,83,30,12
3,15,13,11,15,23,32,31,58,54,70,64,81,18,22,25,83,34,27
3,76,74,79,73,81,78,69,75,80,79,67,76,74,77,76,83,32,17
3,74,70,81,63,83,78,74,69,66,81,62,80,82,86,58,83,30,7
2,24,16,13,11,21,26,32,52,58,80,53,38,12,28,17,83,30,27
4,68,60,82,53,84,73,70,67,73,83,53,43,93,92,52,83,35,27
2,81,82,15,84,22,75,62,80,82,71,78,74,73,83,62,83,28,27
3,64,59,84,40,85,63,54,55,54,83,62,73,77,29,33,83,34,17
3,73,62,84,49,84,69,72,50,54,85,57,71,85,80,55,83,31,17
5,87,85,35,79,37,86,76,79,78,62,85,50,42,74,77,83,30,0
3,63,58,83,45,83,65,61,69,66,78,62,82,86,63,48,83,32,7
4,69,57,81,28,83,72,74,68,72,86,58,86,79,64,34,83,33,7
3,79,78,81,75,80,81,74,76,75,69,75,72,74,84,81,83,33,6
3,24,12,14,14,20,21,18,62,60,62,62,60,16,36,13,83,31,4
4,88,86,58,76,70,89,86,76,68,66,80,68,60,72,78,83,32,20
4,86,91,33,74,40,79,78,79,77,75,85,76,65,83,80,83,30,27
3,20,23,14,14,25,32,35,59,60,61,50,72,10,65,17,83,30,4
3,79,77,83,68,78,75,66,78,87,74,75,68,55,68,80,83,32,16
5,85,83,32,74,45,86,83,72,73,57,83,27,32,87,88,83,33,0
4,86,87,15,77,31,81,79,86,79,62,92,46,46,85,86,83,31,13
3,75,76,78,68,82,77,71,79,83,75,75,75,72,74,68,83,33,16
4,80,77,48,85,54,79,85,69,73,84,77,81,76,86,84,83,32,27
4,78,64,75,55,87,82,82,69,69,84,69,78,81,81,62,83,34,18
3,23,10,12,13,22,19,22,50,63,72,50,73,13,24,11,83,35,4
4,87,89,10,75,24,79,75,85,83,54,89,63,41,83,92,83,34,21
3,85,82,30,72,45,86,81,81,78,62,79,58,50,67,84,82,21,27
3,86,86,46,78,49,83,78,82,77,54,85,53,51,72,77,83,23,21
3,76,74,34,86,54,73,59,69,76,85,66,87,92,78,73,82,29,27
4,64,55,82,27,80,74,69,65,78,91,48,71,80,44,30,82,21,27
4,84,88,35,80,42,75,58,92,91,80,85,80,70,84,76,82,22,13
3,83,80,57,84,65,83,73,77,76,70,74,65,70,75,67,82,21,12
2,30,21,9,16,25,15,25,64,62,69,50,50,14,42,12,82,24,4
2,87,87,37,83,55,78,63,92,92,60,86,70,59,71,59,82,25,20
3,82,85,33,82,29,76,72,94,92,72,88,75,53,76,74,82,25,23
4,82,81,23,81,44,80,76,86,81,56,82,67,51,78,82,82,26,27
3,89,88,33,74,54,83,74,62,67,78,71,54,68,74,82,82,28,27
4,84,81,53,77,69,86,82,75,73,63,79,83,76,81,78,82,26,18
3,73,69,80,58,86,78,71,74,75,76,68,87,72,83,72,82,24,1
3,66,47,85,29,84,67,69,60,65,77,60,85,81,43,34,82,26,17
3,82,72,72,67,81,89,80,79,78,70,77,77,32,63,46,82,28,2
3,23,16,13,8,13,35,37,51,50,55,51,74,14,20,12,82,24,27
3,83,79,73,82,76,82,75,86,84,68,87,74,70,82,73,82,26,27
3,71,69,82,41,83,74,76,74,76,92,57,81,76,81,60,82,26,7
3,26,21,16,16,27,36,40,51,45,59,55,61,12,29,12,82,24,27
4,83,82,14,83,24,74,51,80,86,82,62,79,75,78,76,82,25,27
3,84,88,39,78,50,77,74,95,91,56,93,71,50,79,69,82,25,27
4,85,86,21,75,37,81,78,89,88,58,81,66,49,77,83,82,28,27
3,67,57,86,20,84,70,75,65,64,84,33,68,77,75,62,82,29,17
3,83,81,30,82,58,77,67,79,76,62,84,63,45,74,83,82,31,27
4,80,70,71,77,76,85,89,48,54,76,55,40,62,88,68,82,25,27
4,72,61,85,32,86,70,71,69,69,78,62,71,76,65,45,82,25,17
4,83,88,29,79,69,85,76,87,77,67,89,69,41,70,80,82,28,8
4,82,83,62,85,70,82,80,83,76,61,85,67,45,74,85,82,28,3
3,79,76,78,74,78,78,71,84,85,84,76,93,77,78,69,82,25,27
3,75,63,75,52,81,79,83,65,71,92,59,75,83,81,46,82,27,27
4,82,86,45,76,74,84,78,86,75,47,91,67,34,70,76,82,27,9
4,67,64,80,21,82,68,66,61,58,85,54,82,77,63,26,82,28,7
4,74,68,78,58,86,78,76,77,76,78,78,92,68,65,35,82,30,27
3,79,75,78,67,85,80,76,80,77,76,75,85,69,80,33,82,28,19
2,71,53,83,39,83,75,70,57,62,85,56,78,77,59,67,82,28,7
3,80,78,78,68,82,80,80,73,74,73,75,75,68,78,82,82,25,7
4,83,84,51,77,65,80,75,89,84,73,87,63,37,84,82,82,26,21
3,79,77,31,86,40,70,49,79,85,76,77,78,75,86,70,82,27,26
3,75,77,81,72,77,76,67,86,86,71,84,67,66,74,64,82,26,16
4,80,67,85,82,85,81,82,54,54,88,54,68,81,85,66,82,29,27
2,84,84,61,80,61,84,83,78,73,66,83,67,58,75,80,82,25,27
4,84,87,30,80,56,84,73,83,66,39,92,66,44,47,74,82,28,27
4,24,10,10,12,22,25,12,45,52,73,42,75,11,22,14,82,27,4
3,85,87,38,74,49,77,75,93,91,62,89,62,58,83,52,82,29,11
2,75,75,79,66,75,74,67,87,93,77,70,83,74,86,76,82,27,24
3,88,87,45,77,51,81,73,85,82,62,92,68,53,76,80,82,29,21
3,73,69,78,51,84,77,75,68,67,80,66,75,75,80,42,82,30,9
3,82,84,47,79,42,79,75,83,79,72,85,61,59,79,68,82,27,18
3,82,78,55,80,37,83,77,67,69,67,72,70,60,82,86,82,28,11
3,84,89,24,76,38,77,70,86,75,50,93,72,46,69,83,82,27,11
4,85,84,47,79,46,79,68,78,78,85,76,68,72,78,79,82,28,11
3,80,74,73,74,79,85,83,76,73,76,74,81,65,75,80,82,27,2
3,23,15,13,10,23,22,36,44,34,66,45,64,24,22,11,82,32,4
2,61,50,78,32,81,75,66,55,68,90,61,82,71,51,50,81,27,7
3,64,53,81,24,84,66,68,54,63,90,57,76,79,83,43,82,32,17
2,23,25,17,13,23,44,47,60,62,68,68,84,12,25,14,82,31,4
3,73,65,83,45,77,70,72,49,65,84,57,80,83,64,69,82,31,17
4,79,75,11,87,50,72,59,68,65,82,58,66,80,86,65,82,31,26
3,77,78,83,76,77,77,70,79,79,73,77,72,67,75,42,82,29,27
3,79,76,22,88,26,70,55,86,79,58,81,85,82,76,67,82,29,26
3,80,73,59,78,70,85,86,65,55,70,70,59,47,87,83,82,30,8
3,75,72,76,69,87,79,74,66,69,76,65,77,78,74,49,82,28,19
3,85,83,69,75,80,83,78,67,74,79,82,72,77,78,69,82,28,25
3,79,75,76,67,84,83,79,69,66,77,73,72,71,71,68,82,28,9
4,85,84,40,80,35,80,77,87,86,61,83,73,64,77,77,82,30,11
2,81,82,12,80,37,79,63,87,83,68,86,69,64,73,80,82,28,23
2,22,18,19,10,10,36,37,30,33,58,35,66,13,21,14,82,32,4
1,80,82,78,78,80,77,69,87,85,85,74,68,64,85,69,82,32,16
4,82,80,72,78,78,84,82,76,72,65,83,75,52,77,80,82,30,8
4,81,74,16,85,41,67,53,75,68,73,85,92,90,78,83,82,31,22
2,15,14,14,13,19,33,33,55,54,67,69,79,20,24,24,82,32,4
3,23,10,12,10,15,31,27,48,34,51,57,80,10,24,15,82,30,4
4,82,81,68,74,73,83,81,75,67,64,81,77,68,77,82,82,31,27
2,84,85,67,71,78,84,79,78,77,90,83,77,68,85,65,82,30,8
4,82,79,54,84,75,84,85,70,69,66,76,58,50,81,77,82,34,27
3,74,62,85,56,82,74,77,67,72,79,65,84,80,74,59,82,32,7
4,84,76,70,55,82,83,82,74,69,72,76,62,54,77,71,82,31,2
3,12,13,16,12,22,35,33,49,53,65,38,49,15,22,12,82,30,4
3,67,54,85,30,83,71,65,60,62,82,55,77,77,65,53,82,32,17
4,75,74,20,84,20,69,50,68,75,86,64,76,83,82,68,82,32,26
3,79,74,76,72,82,85,84,62,65,69,73,60,51,81,86,82,34,18
3,23,11,14,11,16,28,23,34,52,66,48,68,10,22,10,82,36,4
4,83,87,29,82,53,84,77,77,72,63,84,71,63,77,80,82,32,12
4,86,87,24,78,40,80,72,94,86,48,92,70,36,74,77,82,29,12
3,72,62,82,32,84,72,76,68,68,80,64,86,86,68,50,82,33,1
3,23,11,12,10,21,39,28,50,54,71,60,80,10,35,14,82,35,4
4,84,81,14,79,42,84,73,67,69,70,69,55,52,76,84,82,35,25
4,76,78,73,68,86,82,81,77,77,73,79,72,55,83,70,82,32,27
5,85,82,22,86,29,74,67,75,72,66,76,67,66,80,83,82,36,26
3,30,12,10,12,21,27,36,39,45,71,58,80,11,29,11,82,35,4
3,65,39,86,43,88,67,58,26,28,87,29,32,86,71,39,82,33,27
2,75,74,82,68,86,75,69,79,73,69,79,89,80,72,76,82,36,6
4,81,75,62,77,84,89,91,32,33,69,53,46,72,86,82,82,36,27
3,80,71,75,66,83,87,85,53,52,66,58,72,73,78,68,82,36,2
4,86,76,40,48,57,88,90,47,33,59,44,33,39,75,92,82,38,3
2,23,25,11,16,22,21,22,59,57,70,62,77,25,28,25,82,36,4
5,82,88,29,78,34,74,65,93,91,47,87,59,43,73,74,81,20,23
3,78,74,75,78,78,83,82,74,75,79,74,89,82,80,66,81,23,8
4,84,81,64,76,72,83,81,75,75,62,75,69,62,78,79,81,25,27
3,87,86,34,78,34,79,70,83,83,62,83,54,48,78,78,81,23,10
3,46,42,82,26,84,72,57,51,68,93,33,38,80,70,28,81,22,17
3,86,85,22,81,26,75,75,85,85,65,87,66,62,83,72,81,23,23
4,80,81,73,74,81,83,82,77,77,76,83,75,69,79,75,81,23,8
2,81,83,22,81,52,79,75,87,87,45,84,64,43,69,75,81,22,21
3,81,79,66,73,77,84,79,73,70,77,76,76,75,79,67,81,22,2
4,81,79,71,75,82,82,78,77,84,68,76,67,73,76,76,81,22,0
4,82,83,25,79,27,74,69,86,91,61,87,82,60,82,75,81,25,21
5,76,76,15,85,31,68,42,80,82,85,79,83,81,81,64,81,24,26
3,81,74,77,62,81,79,75,76,77,76,71,61,73,69,65,81,27,6
4,87,88,52,67,69,87,79,86,78,65,77,62,42,79,78,81,23,27
3,12,14,18,11,23,23,23,50,53,67,62,63,11,19,24,81,24,4
4,82,82,38,78,63,80,72,85,90,66,83,59,55,75,77,81,27,13
3,84,77,63,72,78,85,84,77,77,58,82,61,56,71,75,81,26,27
3,82,84,29,80,43,79,75,84,78,62,82,64,69,82,80,81,24,23
4,77,78,16,83,23,64,36,81,84,82,84,81,73,83,61,80,24,27
2,67,53,85,48,82,69,77,71,72,78,67,89,76,81,72,81,26,7
3,86,86,19,76,21,81,75,82,81,50,86,55,50,74,83,81,24,23
4,86,89,20,78,25,78,62,89,92,59,93,72,40,68,84,81,23,13
4,86,87,24,70,26,78,74,94,91,55,90,49,44,84,71,81,24,23
3,32,12,18,11,25,47,33,54,50,67,48,71,12,35,10,81,28,27
5,83,85,28,83,44,77,68,86,84,57,91,85,74,78,80,81,27,27
3,82,81,24,81,38,77,70,78,78,73,74,65,68,83,83,81,29,27
5,86,85,56,71,45,84,78,80,80,79,70,63,65,80,68,81,24,21
4,82,80,30,82,39,75,66,87,88,80,81,78,71,84,68,81,26,12
3,78,70,82,61,86,79,78,78,76,68,69,86,78,61,56,81,26,7
4,79,83,23,80,44,78,59,87,86,66,79,72,63,85,80,81,27,27
4,85,84,64,80,70,83,77,81,81,64,82,65,60,66,78,81,26,27
3,75,73,83,64,80,75,69,81,84,79,69,73,64,81,75,81,27,16
4,84,87,18,75,31,77,68,86,80,45,90,69,69,64,84,81,31,0
3,19,10,11,9,18,15,20,37,44,55,43,69,11,14,11,81,28,4
4,80,73,82,64,86,81,80,65,58,73,73,71,71,68,77,81,27,6
3,81,76,66,80,79,77,69,85,91,74,77,78,59,73,77,81,28,16
4,76,74,25,83,38,68,45,69,75,94,67,86,84,85,66,81,29,27
3,80,69,72,72,84,86,84,58,61,80,53,52,78,67,68,81,28,27
4,83,75,59,79,68,90,87,56,55,72,69,56,63,78,82,81,28,8
4,78,75,25,82,33,69,40,76,77,91,72,72,88,86,53,81,28,26
3,69,58,77,57,84,78,79,57,60,77,59,91,80,66,39,81,29,27
3,70,60,29,87,39,70,37,54,66,87,37,55,92,85,51,81,28,22
4,77,78,81,63,79,82,81,75,69,78,66,66,63,67,64,81,27,27
3,75,64,75,66,85,81,74,64,59,78,71,85,83,76,62,81,27,19
3,81,77,77,75,78,81,76,76,78,69,70,88,80,79,66,81,29,25
3,82,78,70,76,71,79,76,78,75,65,71,74,67,79,75,81,27,19
3,72,72,83,78,71,80,76,84,90,68,80,85,69,67,49,81,29,27
4,82,77,63,82,70,83,69,73,68,70,71,73,67,84,79,81,29,22
4,85,81,16,76,30,72,52,76,78,85,69,75,66,86,78,81,27,26
3,22,11,11,14,15,32,36,50,40,61,55,38,16,15,16,81,27,4
4,79,74,22,90,42,72,48,69,78,78,69,68,80,78,64,81,29,26
3,79,70,72,70,83,84,83,44,54,79,46,77,82,71,31,81,28,18
4,80,72,25,76,29,72,48,75,79,90,74,82,86,85,60,81,27,26
4,79,75,71,82,80,80,83,69,76,79,69,77,75,87,67,81,32,18
3,71,69,79,59,86,77,74,52,53,83,56,73,73,74,43,81,29,2
3,65,60,86,50,86,65,65,79,83,75,81,93,76,70,68,81,30,25
3,84,85,59,82,70,82,71,79,85,70,82,82,74,77,76,81,27,8
2,70,48,82,32,83,64,62,33,32,89,29,44,88,63,46,81,30,1
3,67,42,80,31,81,75,74,60,69,83,48,62,82,78,52,81,28,17
3,76,75,23,81,48,75,60,87,86,74,77,89,80,78,66,81,30,27
5,78,77,71,75,79,79,75,82,83,67,78,75,66,80,68,81,29,27
2,15,12,11,11,20,34,43,55,55,77,55,71,23,25,11,81,30,4
3,80,75,79,73,72,81,77,82,82,63,81,74,67,74,82,81,32,25
4,64,58,80,49,83,75,69,64,67,76,62,75,75,73,33,81,28,25
3,81,83,21,76,34,81,79,85,82,35,91,60,50,75,82,81,33,27
4,82,82,20,78,29,81,74,79,75,45,83,48,42,77,83,81,27,27
3,82,78,57,78,77,82,81,67,71,73,75,59,59,74,65,81,31,27
4,85,83,54,78,59,81,73,79,81,73,75,40,55,87,76,81,30,15
3,66,56,85,29,86,68,68,67,69,80,58,80,77,65,33,81,30,7
3,84,74,54,85,65,87,85,55,61,82,65,73,88,84,72,81,31,0
4,84,83,21,80,28,73,71,87,86,45,89,65,61,80,73,81,28,27
2,83,86,37,79,43,83,73,81,77,57,78,64,71,80,83,81,25,27
3,54,42,82,31,81,63,69,54,54,88,62,72,84,44,34,81,30,17
3,76,79,80,68,79,75,66,81,84,72,73,71,60,72,64,81,27,14
